Time,evolution,corretion
October 2003,2,1
November 2003,0,0
December 2003,0,0
January 2004,0,0
February 2004,0,0
March 2004,0,0
April 2004,0,0
May 2004,3,0
June 2004,0,0
July 2004,0,0
August 2004,0,0
September 2004,0,0
October 2004,0,0
November 2004,0,0
December 2004,0,0
January 2005,0,0
February 2005,4,4
March 2005,0,3
April 2005,0,0
May 2005,0,0
June 2005,1,0
July 2005,0,3
August 2005,0,0
September 2005,0,0
October 2005,0,0
November 2005,1,4
December 2005,3,0
January 2006,6,0
February 2006,1,0
March 2006,2,5
April 2006,0,5
May 2006,5,1
June 2006,0,2
July 2006,0,2
August 2006,0,0
September 2006,2,0
October 2006,0,0
November 2006,0,0
December 2006,7,0
January 2007,0,4
February 2007,0,0
March 2007,0,0
April 2007,0,23
May 2007,0,3
June 2007,0,1
July 2007,6,0
August 2007,3,0
September 2007,0,3
October 2007,5,0
November 2007,2,3
December 2007,2,2
January 2008,1,2
February 2008,5,0
March 2008,9,7
April 2008,1,0
May 2008,0,0
June 2008,0,0
July 2008,6,0
August 2008,3,0
September 2008,1,3
October 2008,2,3
November 2008,4,2
December 2008,4,5
January 2009,18,0
February 2009,0,0
March 2009,0,0
April 2009,2,0
May 2009,0,0
June 2009,2,0
July 2009,0,0
August 2009,0,2
September 2009,7,0
October 2009,2,1
November 2009,1,0
December 2009,7,2
January 2010,2,4
February 2010,5,0
March 2010,0,2
April 2010,2,4
May 2010,0,0
June 2010,2,3
July 2010,0,6
August 2010,5,0
September 2010,1,0
October 2010,6,4
November 2010,6,0
December 2010,3,3
January 2011,6,0
February 2011,8,2
March 2011,0,0
April 2011,6,0
May 2011,1,0
June 2011,0,2
July 2011,5,3
August 2011,2,0
September 2011,2,0
October 2011,0,4
November 2011,0,1
December 2011,0,0
January 2012,0,0
February 2012,0,0
March 2012,0,3
April 2012,4,0
May 2012,3,3
June 2012,0,6
July 2012,2,0
August 2012,0,0
September 2012,0,2
October 2012,0,0
November 2012,0,0
December 2012,0,0
January 2013,0,4
February 2013,2,2
March 2013,0,0
April 2013,0,2
May 2013,0,0
June 2013,0,0
July 2013,0,0
August 2013,0,0
September 2013,0,0
October 2013,0,3
November 2013,0,0
December 2013,0,0
January 2014,7,0
February 2014,0,0
March 2014,0,0
April 2014,0,4
May 2014,0,0
June 2014,6,0
July 2014,2,4
August 2014,0,0
September 2014,5,0
October 2014,0,0
November 2014,0,0
December 2014,9,2
January 2015,3,0
February 2015,0,0
March 2015,0,7
April 2015,0,0
May 2015,0,0
June 2015,0,0
July 2015,4,3
August 2015,2,0
September 2015,0,0
October 2015,3,0
November 2015,0,0
December 2015,2,0
January 2016,0,0
February 2016,0,0
March 2016,0,0
April 2016,0,0
May 2016,0,0
June 2016,0,0
July 2016,0,0
August 2016,0,0
September 2016,4,0
October 2016,0,0
November 2016,0,0
December 2016,0,0
January 2017,0,2
February 2017,0,0
March 2017,0,2
April 2017,0,0
May 2017,0,0
June 2017,0,0
July 2017,0,0
August 2017,0,0
September 2017,0,0
October 2017,0,0
November 2017,0,0
December 2017,0,0
January 2018,0,0
February 2018,0,0
March 2018,2,6
April 2018,0,0
May 2018,0,0
June 2018,0,0
July 2018,0,0
August 2018,2,3
September 2018,2,0
October 2018,0,0
November 2018,0,0
December 2018,0,0
January 2019,0,0
February 2019,1,0
